id,message
1,Bonsoir à tous
2,Nous devons nous concentrer aujourd'hui et demain pour produire un modèle qui fonctionne
3,Yes yes gar
4,Je suis entrain de relancer
5,Les performances ont diminué et l’entraînement c’est d’abord arrêté après 19 époques
6,Je viens de relancer
7,Avec de pas très bonne performance
8,Je suis entrain de faire un frontend mobile
9,Pour une application mobile @Fetue tu gère le Web nor
10,Posé gar
11,Fetue
12,actu je suis aussi en train de voir une architecture que je peux do
13,Comme je sais que les modèles c'est dans Les format des fichiers extensions .h5 donc je récupère dans
14,Je pense que je vais me concentrer toute cette nuit pour finir sa
15,J'aurais fini l'application mobile demain avant le cours et je pourrais vous envoyer apk ici si sa ne pèse pas
16,Yes yes le masscreur
17,Okay. donne moi un peu les effectifs des différentes classes du dataset la
18,Moi je vais continuer à pistonner les différentes façons d’improve les performances du modèle
19,@Romeo il est avec toi nor il peut te montrer
20,D'accord
21,Je peux dormir hein
22,Yess
23,Eneo nous a fait ca depuis ici
24,Oui gars
25,Ma machine c'est même éteint
26,Les gars dans la présentation je vais enlever les métrique
27,"J'ai modifié un petit cru de mon code hier et quand je fais mon 1er finetunage j'étais déjà à 60,1% d'accuracy et au deuxième finetunage mon jupiter a crasher j'ai utilisé le 60,1% de l'entraînement pour savoir le test au test j'étais à 79%"
28,Je pense que en journée si je lance encore mon code je peu avoir mieux
29,Moi j'étais à 71%
30,Vous dites quoi ? J'enlève la en journée on'a une derrière chance de dépassé sa nor
31,Tu n'avais pas téléchargé le fichier .h5 ?
32,"Okay gar 
Pas de PB"
33,J'ai mais c'est plus petit que mon modèle hier j'étais à 81%
34,Je suis entrain de dire que l'allure que sa prenais je pouvais fini même avec 88%
35,Ahh je comprends
36,Okay
37,Actuellement c'est entrain de tourner ?
38,Ma machine est éteint
39,La lumière
40,Dak
41,J'ai un nouveau cru
42,C'est plus intéressant que celui d'hier
43,Send un peu ton notebook
44,Ok
45,test1.ipynb
46,Suis au commissariat depuis le matin pour ma cni mince
47,Les gars perdent mal le temps
48,youtu.be
49,https://youtu.be/xe9SiLyPIoQ
50,Pegasus Nathanaël
51,www.mdpi.com
52,Finalement c’est quel lien youtube qu’on a envoyé ?
53,On a envoyé un lien ce qui est sur
54,Exact
55,Lontsi tu as flop oublié les « e«  à la fin de tes mots
56,Faut aussi partager le lien
57,Je crois que pollah a posté ca noon
58,C’est pas ca qui compte mais bon
59,"Bonjour à tous,
Je vous encourage à soutenir notre équipe pour leur compétition ! Un simple like  et un commentaire sur notre vidéo peuvent vraiment faire la différence et aider le jury à évaluer l’impact de notre solution.
Merci pour votre aide !
 [Regardez ici](https://youtu.be/25fk9Xh9I0U)
Objectif : 100 likes 
N'hésitez pas à partager !"
60,Tu as envoyé quel lien Lontsi?
61,Lontsi_delegue
62,On devais en principe partager plus tôt le lien que tu as envoyé
63,Partage sa
64,C’est ça que tu as envoyé ?
65,Oui oui
66,Okay
67,Okay
68,jcia hackathon 2025
